Country,Country Name,Year,Deployment Per Capita
CAN,Canada,2014,3.6
SVK,Slovakia,2014,8.8
ALB,Albania,2014,1.3
BGR,Bulgaria,2014,4.9
CZE,Czech Republic,2014,3.0
FRA,France,2014,10.2
GRC,Greece,2014,1.7
MKD,Republic of Macedonia,2014,9.1
NLD,Netherlands,2014,3.7
POL,Poland,2014,1.8
ROU,Romania,2014,2.4
SVN,Slovenia,2014,17.0
ESP,Spain,2014,2.2
TUR,Turkey,2014,1.4
GBR,United Kingdom,2014,2.3
DEU,Germany,2014,3.4
ITA,Italy,2014,5.7
LVA,Latvia,2014,3.2
LTU,Lithuania,2014,3.1
LUX,Luxembourg,2014,4.9
BEL,Belgium,2014,3.1
EST,Estonia,2014,2.1
HUN,Hungary,2014,6.0
PRT,Portugal,2014,2.7
AUS,Australia,2014,4.8
HRV,Croatia,2014,4.7
DNK,Denmark,2014,6.7
KOR,Republic of Korea,2014,0.7
MNE,Montenegro,2014,4.7
NZL,New Zealand,2014,0.9
NOR,Norway,2014,2.3
USA,United States,2014,10.6
JPN,Japan,2014,0.2
CAN,Canada,2015,4.3
SVK,Slovakia,2015,4.2
ALB,Albania,2015,2.2
BGR,Bulgaria,2015,2.2
CZE,Czech Republic,2015,3.2
FRA,France,2015,8.2
GRC,Greece,2015,1.8
MKD,Republic of Macedonia,2015,4.2
NLD,Netherlands,2015,4.7
POL,Poland,2015,1.4
ROU,Romania,2015,4.0
SVN,Slovenia,2015,16.8
ESP,Spain,2015,2.4
TUR,Turkey,2015,1.5
GBR,United Kingdom,2015,1.9
DEU,Germany,2015,2.7
ITA,Italy,2015,4.7
LVA,Latvia,2015,1.9
LTU,Lithuania,2015,2.7
LUX,Luxembourg,2015,4.7
BEL,Belgium,2015,1.5
EST,Estonia,2015,5.5
HUN,Hungary,2015,8.8
PRT,Portugal,2015,2.5
AUS,Australia,2015,6.2
HRV,Croatia,2015,4.0
DNK,Denmark,2015,4.5
KOR,Republic of Korea,2015,1.3
MNE,Montenegro,2015,3.4
NZL,New Zealand,2015,3.2
NOR,Norway,2015,3.3
USA,United States,2015,4.6
JPN,Japan,2015,0.2
CAN,Canada,2016,3.8
SVK,Slovakia,2016,4.7
ALB,Albania,2016,2.3
BGR,Bulgaria,2016,2.4
CZE,Czech Republic,2016,3.5
FRA,France,2016,8.0
GRC,Greece,2016,1.8
MKD,Republic of Macedonia,2016,4.0
NLD,Netherlands,2016,3.8
POL,Poland,2016,1.5
ROU,Romania,2016,4.4
SVN,Slovenia,2016,14.9
ESP,Spain,2016,2.3
TUR,Turkey,2016,2.0
GBR,United Kingdom,2016,2.3
DEU,Germany,2016,3.1
ITA,Italy,2016,6.8
LVA,Latvia,2016,2.0
LTU,Lithuania,2016,1.5
LUX,Luxembourg,2016,4.8
BEL,Belgium,2016,2.9
EST,Estonia,2016,7.8
HUN,Hungary,2016,7.9
PRT,Portugal,2016,2.5
AUS,Australia,2016,6.2
HRV,Croatia,2016,3.8
DNK,Denmark,2016,9.4
KOR,Republic of Korea,2016,1.3
MNE,Montenegro,2016,3.2
NZL,New Zealand,2016,4.0
NOR,Norway,2016,6.6
USA,United States,2016,5.2
JPN,Japan,2016,0.2
CAN,Canada,2017,3.3
SVK,Slovakia,2017,4.6
ALB,Albania,2017,4.2
BGR,Bulgaria,2017,3.3
CZE,Czech Republic,2017,3.7
FRA,France,2017,8.5
GRC,Greece,2017,1.8
MKD,Republic of Macedonia,2017,2.1
NLD,Netherlands,2017,4.9
POL,Poland,2017,2.0
ROU,Romania,2017,5.3
SVN,Slovenia,2017,17.1
ESP,Spain,2017,3.6
TUR,Turkey,2017,1.3
GBR,United Kingdom,2017,5.2
DEU,Germany,2017,4.1
ITA,Italy,2017,8.0
LVA,Latvia,2017,1.9
LTU,Lithuania,2017,2.1
LUX,Luxembourg,2017,4.4
BEL,Belgium,2017,4.5
EST,Estonia,2017,6.0
HUN,Hungary,2017,9.4
PRT,Portugal,2017,2.3
AUS,Australia,2017,5.7
HRV,Croatia,2017,3.8
DNK,Denmark,2017,7.9
KOR,Republic of Korea,2017,1.4
MNE,Montenegro,2017,4.0
NZL,New Zealand,2017,4.2
NOR,Norway,2017,8.3
USA,United States,2017,9.3
JPN,Japan,2017,0.0
CAN,Canada,2018,3.6
SVK,Slovakia,2018,8.9
ALB,Albania,2018,7.9
BGR,Bulgaria,2018,3.5
CZE,Czech Republic,2018,4.4
FRA,France,2018,7.9
GRC,Greece,2018,2.8
MKD,Republic of Macedonia,2018,4.3
NLD,Netherlands,2018,5.7
POL,Poland,2018,3.1
ROU,Romania,2018,5.7
SVN,Slovenia,2018,16.6
ESP,Spain,2018,4.2
TUR,Turkey,2018,1.4
GBR,United Kingdom,2018,7.2
DEU,Germany,2018,4.1
ITA,Italy,2018,8.0
LVA,Latvia,2018,3.4
LTU,Lithuania,2018,4.9
LUX,Luxembourg,2018,4.4
BEL,Belgium,2018,4.5
EST,Estonia,2018,11.6
HUN,Hungary,2018,8.9
PRT,Portugal,2018,4.5
AUS,Australia,2018,6.5
HRV,Croatia,2018,11.9
DNK,Denmark,2018,11.1
KOR,Republic of Korea,2018,1.2
MNE,Montenegro,2018,4.2
NZL,New Zealand,2018,4.2
NOR,Norway,2018,5.0
USA,United States,2018,8.4
JPN,Japan,2018,0.0
CAN,Canada,2019,3.1
SVK,Slovakia,2019,9.4
ALB,Albania,2019,6.7
BGR,Bulgaria,2019,2.8
CZE,Czech Republic,2019,6.1
FRA,France,2019,8.2
GRC,Greece,2019,2.5
MKD,Republic of Macedonia,2019,2.5
NLD,Netherlands,2019,2.9
POL,Poland,2019,3.6
ROU,Romania,2019,5.8
SVN,Slovenia,2019,15.6
ESP,Spain,2019,4.5
TUR,Turkey,2019,1.4
GBR,United Kingdom,2019,5.5
DEU,Germany,2019,3.9
ITA,Italy,2019,7.2
LVA,Latvia,2019,3.0
LTU,Lithuania,2019,4.8
LUX,Luxembourg,2019,0.6
BEL,Belgium,2019,3.9
EST,Estonia,2019,9.3
HUN,Hungary,2019,8.6
PRT,Portugal,2019,4.9
AUS,Australia,2019,5.9
HRV,Croatia,2019,6.0
DNK,Denmark,2019,7.7
KOR,Republic of Korea,2019,1.2
MNE,Montenegro,2019,6.6
NZL,New Zealand,2019,3.5
NOR,Norway,2019,8.0
USA,United States,2019,7.9
JPN,Japan,2019,0.0
CAN,Canada,2020,3.5
SVK,Slovakia,2020,9.1
ALB,Albania,2020,5.4
BGR,Bulgaria,2020,2.9
CZE,Czech Republic,2020,3.8
FRA,France,2020,8.9
GRC,Greece,2020,2.6
MKD,Republic of Macedonia,2020,2.7
NLD,Netherlands,2020,2.9
POL,Poland,2020,4.0
ROU,Romania,2020,5.8
SVN,Slovenia,2020,14.7
ESP,Spain,2020,4.3
TUR,Turkey,2020,5.0
GBR,United Kingdom,2020,4.8
DEU,Germany,2020,3.6
ITA,Italy,2020,7.9
LVA,Latvia,2020,1.5
LTU,Lithuania,2020,3.9
LUX,Luxembourg,2020,1.6
BEL,Belgium,2020,2.2
EST,Estonia,2020,12.9
HUN,Hungary,2020,7.4
PRT,Portugal,2020,5.2
AUS,Australia,2020,3.4
HRV,Croatia,2020,5.3
DNK,Denmark,2020,10.7
KOR,Republic of Korea,2020,1.3
MNE,Montenegro,2020,6.3
NZL,New Zealand,2020,3.3
NOR,Norway,2020,6.2
USA,United States,2020,3.8
JPN,Japan,2020,0.0
CAN,Canada,2021,3.2
SVK,Slovakia,2021,8.1
ALB,Albania,2021,1.9
BGR,Bulgaria,2021,0.6
CZE,Czech Republic,2021,3.3
FRA,France,2021,10.7
GRC,Greece,2021,2.2
MKD,Republic of Macedonia,2021,3.6
NLD,Netherlands,2021,2.6
POL,Poland,2021,3.3
ROU,Romania,2021,1.3
SVN,Slovenia,2021,13.5
ESP,Spain,2021,4.3
TUR,Turkey,2021,0.9
GBR,United Kingdom,2021,5.1
DEU,Germany,2021,1.9
ITA,Italy,2021,8.1
LVA,Latvia,2021,7.4
LTU,Lithuania,2021,2.9
LUX,Luxembourg,2021,3.4
BEL,Belgium,2021,4.1
EST,Estonia,2021,10.6
HUN,Hungary,2021,8.8
PRT,Portugal,2021,6.1
AUS,Australia,2021,2.6
HRV,Croatia,2021,6.4
DNK,Denmark,2021,6.9
KOR,Republic of Korea,2021,1.0
MNE,Montenegro,2021,2.4
NZL,New Zealand,2021,0.9
NOR,Norway,2021,5.9
USA,United States,2021,3.3
JPN,Japan,2021,0.0
